SNP,p_AA,p_Aa,p_aa,slope1,slope2,ratio,cluster
rs67352743,0.0773126836659705,0.0819834088734133,0.0826242127108642,0.00467072520744284,0.000640803837450868,0.137195790587239,2
rs73015582,0.0780727778844031,0.0902560730816847,0.176177117609065,0.0121832951972816,0.0859210445273807,7.05236499125063,1
rs61804201,0.0772365972607386,0.0821737607050306,0.0812707191140569,0.00493716344429207,-0.00090304159097368,-0.182906966958467,2
rs10753675,0.0763325875137865,0.0792965297471055,0.0810644206120705,0.002963942233319,0.001767890864965,0.596466032668027,2
rs80175962,0.0781097322068847,0.081824632673068,0.117431898456552,0.00371490046618324,0.0356072657834838,9.58498514499029,1
rs11585831,0.0786029249659737,0.0753722654331549,0.0897794546406596,-0.00323065953281876,0.0144071892075047,-4.45951950713123,5
rs13413086,0.0817745950279766,0.0779182374744909,0.0743491544137442,-0.00385635755348566,-0.00356908306074674,0.925506261088456,6
rs243083,0.0761106567060594,0.078272647428138,0.0818383962398361,0.00216199072207865,0.00356574881169806,1.64928959929568,6
rs149933033,0.0789653744073329,0.0736853846807665,0.0760800779052159,-0.00527998972656643,0.00239469322444946,-0.453541265885517,2
rs80195706,0.0779109675673106,0.0875669515791197,0.100213383603731,0.00965598401180913,0.0126464320246114,1.3096989399677,6
,0.0772229804237201,0.0802852569799032,0.0873127859956579,0.0030622765561831,0.00702752901575471,2.29487078871609,3
rs13178221,0.0765389274885777,0.0806146833330983,0.0816939649102654,0.00407575584452061,0.00107928157716707,0.264805257807098,2
rs11753884,0.0790240455652959,0.0735312118605506,0.0724589491127688,-0.00549283370474521,-0.0010722627477818,0.195211216180727,2
rs9271494,0.0765633586194828,0.0817424913787967,0.0874263470958827,0.00517913275931398,0.00568385571708596,1.09745318014185,6
rs9273363,0.0747912388054109,0.0795832474062094,0.0914027210648577,0.00479200860079845,0.0118194736586483,2.46649675392463,3
rs1794269,0.0756130023238673,0.0780584567693925,0.0861654998351487,0.00244545444552512,0.00810704306575628,3.31514785752447,7
rs189945718,0.0784660845279215,0.0689480624773227,0.141434459488981,-0.00951802205059875,0.0724863970116578,-7.61569963027117,4
rs6938973,0.0806738091532291,0.0773139788309592,0.0760304697002397,-0.00335983032226987,-0.00128350913071951,0.382016056647878,2
rs627056,0.0776019387806231,0.0805814772236762,0.0860719047150036,0.00297953844305311,0.00549042749132742,1.84271074069493,3
rs111868044,0.0787044354333888,0.0717102451798025,0.0570272023143938,-0.00699419025358627,-0.0146830428654087,2.09931991167669,3
rs10229786,0.0782731208474935,0.0776091911979263,0.0802400255584928,-0.000663929649567241,0.00263083436056653,-3.96251976739004,5
rs6963778,0.0773219792204268,0.0813857355272034,0.0830078632160848,0.00406375630677663,0.00162212768888136,0.399169528491738,2
rs11985603,0.0774156941517642,0.0785505091343785,0.0793627006998078,0.00113481498261427,0.000812191565429304,0.715703949870546,6
rs80122763,0.0777259720144325,0.0801566451937391,0.0894112077186149,0.00243067317930666,0.00925456252487573,3.80740718401129,7
rs35069058,0.0760244603644039,0.078912558361462,0.0800532559437197,0.00288809799705811,0.00114069758225777,0.394964985059271,2
rs2678821,0.0782116578115432,0.0796004298186465,0.0668172633973168,0.00138877200710324,-0.0127831664213297,-9.20465443999936,4
rs944800,0.0802702452721858,0.0775027656808353,0.0731716216931066,-0.00276747959135054,-0.0043311439877287,1.56501388529304,6
rs1333045,0.0821197047466732,0.0780057351797448,0.074557607661444,-0.00411396956692836,-0.00344812751830079,0.838150954255912,6
rs7018475,0.074986649407925,0.0815605125132181,0.0875785013615659,0.00657386310529305,0.00601798884834787,0.915441765664756,6
rs10812183,0.0774808316882545,0.0809064622191125,0.0894856560500904,0.00342563053085804,0.00857919383097788,2.50441305730335,3
rs2398861,0.0768186966339069,0.0795736387691158,0.0840681469138456,0.00275494213520892,0.00449450814472978,1.63143468143622,6
rs11257908,0.0788790407562671,0.0771529381927348,0.0702076271268677,-0.00172610256353231,-0.00694531106586709,4.02369547013136,7
rs34600782,0.077724236709069,0.0820483344087969,0.0915987945779898,0.00432409769972793,0.00955046016919293,2.20865966321572,3
rs3740236,0.0790731508914214,0.075152646105787,0.0692323044231676,-0.0039205047856344,-0.00592034168261941,1.51009678761594,6
rs2797139,0.0803064423152727,0.0774542446227218,0.0769323527954153,-0.00285219769255091,-0.000521891827306567,0.182978840726782,2
rs145331381,0.0774999374487303,0.0823677591737948,0.0840282535173365,0.00486782172506446,0.00166049434354175,0.34111650699775,2
rs61873652,0.0787970520228388,0.071640954610681,0.0692075138660215,-0.00715609741215779,-0.00243344074465945,0.340051372208151,2
rs72830432,0.0786868330681401,0.0761712851135359,0.061020876867256,-0.00251554795460417,-0.0151504082462799,6.02270698857098,1
rs7903146,0.0668483852533729,0.0867793758153917,0.105368524992343,0.0199309905620188,0.0185891491769518,0.932675629899495,6
rs10839220,0.0802719042018273,0.0788095834216759,0.0751868865437753,-0.00146232078015143,-0.00362269687790057,2.47736127877866,3
rs231362,0.0823217690261826,0.0776206743536425,0.0750368392593348,-0.00470109467254008,-0.00258383509430764,0.549624135289228,2
rs2237895,0.0728382772949172,0.0793379878067456,0.086302518273934,0.00649971051182838,0.00696453046718842,1.07151394735414,6
rs17148051,0.0779735986436148,0.08914069638999,0.082762127870879,0.0111670977463752,-0.00637856851911105,-0.571193040840135,2
rs11530701,0.0793614510486748,0.0771066925065798,0.0715025298254067,-0.00225475854209509,-0.00560416268117303,2.48548240379022,3
rs775251,0.0784658646793359,0.078227858851907,0.0779220081234555,-0.000238005827428917,-0.000305850728451476,1.28505562975269,6
rs59789656,0.0790770750555796,0.0774844755460434,0.075533961488212,-0.00159259950953626,-0.00195051405783137,1.22473606587969,6
rs9669152,0.0773665195373976,0.0784618173435839,0.0798556509165657,0.00109529780618625,0.00139383357298178,1.27256127521611,6
rs8756,0.0817218857578916,0.0778049121182295,0.0755606319918786,-0.00391697363966212,-0.00224428012635082,0.572962785254897,2
rs247348,0.0793350713919825,0.0763302448423746,0.0784856112624503,-0.00300482654960796,0.00215536642007577,-0.717301443025716,2
rs11109409,0.0788453763640398,0.075192773632087,0.0625113267339378,-0.00365260273195284,-0.0126814468981492,3.47189328508474,7
rs11063029,0.0777575911661614,0.0832860378140758,0.0948435204299202,0.00552844664791441,0.0115574826158443,2.09054791551699,3
rs74055579,0.0791281051213298,0.0748064718365433,0.0729546948278436,-0.00432163328478656,-0.00185177700869964,0.428490083880658,2
rs76946001,0.0779885465143583,0.0883695426596158,0.0880625184420136,0.0103809961452576,-0.000307024217602203,-0.0295756026980574,2
rs775245,0.0783703038851006,0.0780965197976576,0.0775666063062468,-0.000273784087443052,-0.000529913491410738,1.93551603513467,3
,0.0796160009102307,0.0771462989078057,0.0778302604781788,-0.00246970200242493,0.000683961570373051,-0.276940930404352,2
rs73291460,0.0779098731449327,0.0857740967136422,0.0770235004311755,0.0078642235687095,-0.00875059628246677,-1.11270950094603,2
rs225925,0.0779378166261757,0.0837535945731078,0.0957507178568135,0.00581577794693214,0.0119971232837057,2.06285786582245,3
rs7140347,0.0807016688651392,0.0777537008973694,0.076009436288372,-0.00294796796776985,-0.00174426460899736,0.591683704866341,2
rs12912777,0.0768308043146141,0.0825800952856496,0.0914122070037608,0.00574929097103544,0.00883211171811127,1.5362088582065,6
rs999590,0.0795943829369172,0.0759994464638342,0.0746810134044169,-0.00359493647308301,-0.00131843305941728,0.366747248328035,2
rs2646771,0.0766770009094452,0.0784399080405503,0.0816186628683537,0.00176290713110516,0.00317875482780337,1.80313232144601,3
rs16955460,0.0775963820212465,0.0797767971950824,0.0824280542724483,0.00218041517383598,0.00265125707736588,1.21594139922516,6
rs150085830,0.0780120220943838,0.0852644707339556,0.0787477497750335,0.00725244863957175,-0.00651672095892208,-0.898554582429541,2
rs7184965,0.0788189234289823,0.0738715690548926,0.0745852030341265,-0.00494735437408972,0.000713633979233935,-0.14424557556891,2
rs191828246,0.0781148781126968,0.085781716321956,0.0741675355655818,0.00766683820925917,-0.0116141807563742,-1.51485924697718,2
rs7196917,0.0754380006606297,0.0794148935219187,0.0805198078392604,0.00397689286128897,0.00110491431734172,0.277833564010976,2
